year,expenditure_type,school,funding_category,amount
2006,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Academic Achievement,885297
2009,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Academic Achievement,1112059
2013,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Academic Achievement,2138374
2014,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Academic Achievement,2602899
2015,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Academic Achievement,3740842
2016,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Academic Achievement,4692993
2006,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Instructional Support,191398
2009,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Instructional Support,375286
2013,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Instructional Support,637643
2014,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Instructional Support,732818
2015,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Instructional Support,998968
2016,Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Student Instructional Support,709308
2006,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Overhead and Operational,649896
2009,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Overhead and Operational,258
2013,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Overhead and Operational,1605313
2014,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Overhead and Operational,2065345
2015,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Overhead and Operational,2439791
2016,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Overhead and Operational,2142626
2006,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Non Operational,794250
2009,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Non Operational,315
2013,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Non Operational,811324
2014,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Non Operational,604014
2015,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Non Operational,1385543
2016,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Non Operational,1344981
2006,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Not Categorized,0
2009,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Not Categorized,00
2013,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Not Categorized,0
2014,Non-Instructional,21st_Century_Charter_Sch_of_Garynbsp_9545,Not Categorized,0
