school_name,,21st Century Charter School of Gary
21st Century Charter Sch of Gary,,ACE Preparatory Academy
Adams Central Community Schools,,Anderson Preparatory Academy
Alexandria Com School Corp,,Andrew J Brown Academy
Anderson Community School Corp,,Aspire Charter Academy
Anderson Excel Center,,Avondale Meadows Academy
Anderson Preparatory Academy,,Canaan Community Academy
Andrew J Brown Academy,,Career Academy High School
Argos Community Schools,,Career Academy Middle School
Aspire Charter Academy,,Carpe Diem - Meridian Campus
Attica Consolidated Sch Corp,,Carpe Diem - Northwest
Avon Community School Corp,,Carpe Diem - Shadeland
Avondale Meadows Academy,,Charles A. Tindley Accelerated School
Barr-Reeve Com Schools Inc,,Charter School of the Dunes
Bartholomew Con School Corp,,Christel House Academy South
Batesville Community Sch Corp,,Christel House Academy West
Baugo Community Schools,,Christel House DORS South
Beacon Academy,,Christel House DORS West
Beech Grove City Schools,,Community Montessori
Benton Community School Corp,,Damar Charter Academy
Blackford County Schools,,Discovery Charter School
Bloomfield School District,,Dr. Robert H Faulkner Academy
Bloomington Project School,,Duggar Union Community School Corp
Blue River Valley Schools,,East Chicago Lighthouse Charter School
Bremen Public Schools,,East Chicago Urban Enterprise Acad
Brown County School Corporation,,Enlace Academy
Brownsburg Community Sch Corp,,Excel Center - Anderson
Brownstown Cnt Com Sch Corp,,Excel Center - Kokomo
Burris Laboratory School,,Excel Center - Lafayette
C A Beard Memorial School Corp,,Excel Center - Lafayette Square
Canaan Community Academy,,Excel Center - Noblesville
Cannelton City Schools,,Excel Center - Richmond
Career Academy at South Bend,,Excel Center - Shelbyville
Career Academy Middle School,,Excel Center - South Bend
Carmel Clay Schools,,Excel Center - University Heights
Carpe Diem - Meridian Campus,,Excel Center For Adult Learners
Carpe Diem - Northwest,,Gary Lighthouse Charter School
Carpe Diem - Shadeland,,Gary Middle College
onsolidated Sch Corp,,Geist Montessori Academy
Caston School Corporation,,George & Veronica Phalen Leadership Academy
Center Grove Com Sch Corp,,Global Preparatory Academy
Centerville-Abington Com Schs,,Hammond Academy of Sci & Tech
Central Noble Com School Corp,,Heritage School of Arts & Technology
Charles A Tindley Accelerated Schl,,Herron High School
Charter School of the Dunes,,Hoosier Acad Virtual Charter Sch
Charter School USA Donnan,,Hoosier Academy - Indianapolis
Charter School USA Howe,,Hope Academy
Charter School USA Manual,,Indiana College Preparatory School
Christel House Academy South,,Indiana Connections Academy
Christel House Academy West,,Indiana Math & Science Acad (North)
Christel House DORS,,Indiana Math & Science Acad (South)
Clark-Pleasant Com School Corp,,Indiana Math & Science Acad (West)
Clarksville Com School Corp,,Indiana Virtual School
Clay Community Schools,,Indianapolis Academy of Excellence
Clinton Central School Corp,,Indianapolis Lighthouse Charter School
Clinton Prairie School Corp,,Indianapolis Lighthouse East
Cloverdale Community Schools,,Indianapolis Metropolitan High School
Community Montessori Inc,,Insight School of Indiana
Community Schools of Frankfort,,Inspire Academy - A School of Inquiry
Concord Community Schools,,Irvington Community School
Covington Community Sch Corp,,Joshua Academy
Cowan Community School Corp,,Kindezi Academy
Crawford Co Com School Corp,,KIPP Indy College Preparatory
Crawfordsville Com Schools,,KIPP Indy Unite
Crothersville Community Schools,,Marion Academy
Crown Point Community Sch Corp,,Mays Community Academy
Culver Community Schools Corp,,Neighbors' New Vistas High School
Daleville Community Schools,,New Community School
Damar Charter Academy,,Nexus Academy of Indianapolis
Danville Community School Corp,,Options Charter School - Carmel
Decatur County Com Schools,,Options Charter School - Noblesville
DeKalb Co Ctl United Sch Dist,,Paramount School of Excellence
DeKalb Co Eastern Com Sch Dist,,Renaissance Academy Charter School
Delaware Community School Corp,,Rock Creek Community Academy
Delphi Community School Corp,,Rural Community Academy
Discovery Charter School,,SE Neighborhood School of Excellence
Dr Robert H Faulkner Academy,,Seven Oaks Classical School
Dugger Ch Sch ,,Signature School Inc
Duneland School Corporation,,Smith Academy of Excellence
Early Career Academy,,Steel City Academy
East Allen County Schools,,Success Academy Primary School
East Chicago Lighthouse Charter,,The Bloomington Project School
East Chicago Urban Enterprise Acad,,Thea Bowman Leadership Academy
East Gibson School Corporation,,Thurgood Marshall Leadership Acad
East Noble School Corp,,Timothy L. Johnson Academy
East Porter County School Corp,,Tindley Collegiate Academy
East Washington School Corp,,Tindley Genesis Academy
Eastbrook Community Sch Corp,,Tindley Preparatory Academy
Eastern Greene Schools,,Tindley Renaissance Academy
Eastern Hancock Co Com Sch Corp,,Tindley Summit Academy
Eastern Howard School Corp,,Veritas Academy
Eastern Pulaski Com Sch Corp,,Vision Academy
Edinburgh Community Sch Corp,,Xavier School of Excellence
Edison Learning Roosevelt,,
Elkhart Community Schools,,
Elwood Community School Corp,,
Eminence Community School Corp,,
Enlace Academy,,
Evansville Vanderburgh Sch Corp,,
Excel Center - Kokomo,,
Excel Center - Lafayette Sq,,
Excel Center - Richmond,,
Excel Center - Shelbville,,
Excel Center - South Bend,,
Excel Center - University Heights,,
Excel Center for Adult Learners,,
Fairfield Community Schools,,
Fayette County School Corp,,
Flat Rock-Hawcreek School Corp,,
Fort Wayne Community Schools,,
