school_name,url
21st Century Charter Sch of Gary&nbsp;(9545), "https://www.in.gov/omb/files/21st%20century%20charter%20sch%20of%20gary%20fy%2016.pdf"
Adams Central Community Schools&nbsp; (15), "https://www.in.gov/omb/files/adams%20central%20community%20schools%20fy16%20.pdf"
Alexandria Com School Corp&nbsp; (5265), "https://www.in.gov/omb/files/alexandria%20com%20school%20corp%20fy%2016%20.pdf"
Anderson Community School Corp&nbsp; (5275), "https://www.in.gov/omb/files/5275fy16.pdf"
Anderson Excel Center&nbsp; (9750), "https://www.in.gov/omb/files/9750fy16.pdf"
Anderson Preparatory Academy&nbsp; (9790), "https://www.in.gov/omb/files/9790fy16.pdf"
Andrew J Brown Academy&nbsp; (9615), "https://www.in.gov/omb/files/9615fy16.pdf"
Argos Community Schools&nbsp; (5470), "https://www.in.gov/omb/files/5470fy16.pdf"
Aspire Charter Academy&nbsp; (9685), "https://www.in.gov/omb/files/9685fy16.pdf"
Attica Consolidated Sch Corp&nbsp; (2435), "https://www.in.gov/omb/files/2435fy16.pdf"
Avon Community School Corp&nbsp; (3315), "https://www.in.gov/omb/files/3315fy16.pdf"
Avondale Meadows Academy (9645), "https://www.in.gov/omb/files/9645fy16.pdf"
Barr-Reeve Com Schools Inc&nbsp; (1315), "https://www.in.gov/omb/files/1315fy16.pdf"
Bartholomew Con School Corp&nbsp; (365), "https://www.in.gov/omb/files/365fy16.pdf"
Batesville Community Sch Corp&nbsp; (6895), "https://www.in.gov/omb/files/6895fy16.pdf"
Baugo Community Schools&nbsp; (2260), "https://www.in.gov/omb/files/2260fy16.pdf"
Beacon Academy&nbsp; (9830), "https://www.in.gov/omb/files/9830fy16.pdf"
Beech Grove City Schools&nbsp; (5380), "https://www.in.gov/omb/files/5380fy16.pdf"
Benton Community School Corp&nbsp; (395), "https://www.in.gov/omb/files/395fy16.pdf"
Blackford County Schools&nbsp; (515), "https://www.in.gov/omb/files/515fy16.pdf"
Bloomfield School District&nbsp; (2920), "https://www.in.gov/omb/files/2920fy16.pdf"
Bloomington Project School&nbsp; (9835), "https://www.in.gov/omb/files/9835fy16.pdf"
Blue River Valley Schools&nbsp; (3405), "https://www.in.gov/omb/files/3405fy16.pdf"
Bremen Public Schools&nbsp; (5480), "https://www.in.gov/omb/files/5480fy16.pdf"
Brown County School Corporation&nbsp; (670), "https://www.in.gov/omb/files/670fy16.pdf"
Brownsburg Community Sch Corp&nbsp; (3305), "https://www.in.gov/omb/files/3305.pdf"
Brownstown Cnt Com Sch Corp&nbsp; (3695), "https://www.in.gov/omb/files/3695fy16.pdf"
Burris Laboratory School&nbsp; (9620), "https://www.in.gov/omb/files/9620fy16.pdf"
C A Beard Memorial School Corp&nbsp; (3455), "https://www.in.gov/omb/files/3455fy16.pdf"
Canaan Community Academy&nbsp; (9725), "https://www.in.gov/omb/files/9725fy16.pdf"
Cannelton City Schools&nbsp; (6340), "https://www.in.gov/omb/files/6340fy16.pdf"
Career Academy at South Bend&nbsp; (9880), "https://www.in.gov/omb/files/9880fy16.pdf"
Career Academy Middle School (9965)"https://www.in.gov/omb/files/9965fy16"
Carmel Clay Schools&nbsp; (3060), "https://www.in.gov/omb/files/3060fy16.pdf"
Carpe Diem - Meridian Campus&nbsp; (9755), "https://www.in.gov/omb/files/9755fy16.pdf"
Carpe Diem - Northwest (9710), "https://www.in.gov/omb/files/9710fy16.pdf"
Carpe Diem - Shadeland (9630), "https://www.in.gov/omb/files/9630fy16.pdf"
onsolidated Sch Corp&nbsp; (750), "https://www.in.gov/omb/files/750fy16.pdf"
Caston School Corporation&nbsp; (2650), "https://www.in.gov/omb/files/2650fy16.pdf"
Center Grove Com Sch Corp&nbsp; (4205), "https://www.in.gov/omb/files/4205fy16.pdf"
Centerville-Abington Com Schs&nbsp; (8360), "https://www.in.gov/omb/files/8360fy16.pdf"
Central Noble Com School Corp&nbsp; (6055), "https://www.in.gov/omb/files/6055fy16.pdf"
Charles A Tindley Accelerated Schl&nbsp; (9445), "https://www.in.gov/omb/files/9445fy16.pdf"
Charter School of the Dunes&nbsp; (9310), "https://www.in.gov/omb/files/9310fy16.pdf"
Charter School USA Donnan&nbsp; (8825), "https://www.in.gov/omb/files/8825fy16.pdf"
Charter School USA Howe&nbsp; (8810), "https://www.in.gov/omb/files/8810fy16.pdf"
Charter School USA Manual&nbsp; (8815), "https://www.in.gov/omb/files/8815fy16.pdf"
Christel House Academy South&nbsp; (9380), "https://www.in.gov/omb/files/9380fy16.pdf"
Christel House Academy West (9395), "https://www.in.gov/omb/files/9395fy16.pdf"
Christel House DORS&nbsp; (9385), "https://www.in.gov/omb/files/Christel%20House%20DORS%c2%a0%20(9385).pdf"
Clark-Pleasant Com School Corp&nbsp; (4145), "https://www.in.gov/omb/files/4145fy16.pdf"
Clarksville Com School Corp&nbsp; (1000), "https://www.in.gov/omb/files/1000fy16.pdf"
Clay Community Schools&nbsp; (1125), "https://www.in.gov/omb/files/1125fy16.pdf"
Clinton Central School Corp&nbsp; (1150), "https://www.in.gov/omb/files/1150fy16.pdf"
Clinton Prairie School Corp&nbsp; (1160), "https://www.in.gov/omb/files/1160fy16.pdf"
Cloverdale Community Schools&nbsp; (6750), "https://www.in.gov/omb/files/6750fy16.pdf"
Community Montessori Inc&nbsp; (9320), "https://www.in.gov/omb/files/9320fy16.pdf"
Community Schools of Frankfort&nbsp; (1170), "https://www.in.gov/omb/files/1170fy16.pdf"
Concord Community Schools&nbsp; (2270), "https://www.in.gov/omb/files/2270fy16.pdf"
Covington Community Sch Corp&nbsp; (2440), "https://www.in.gov/omb/files/2440fy16.pdf"
Cowan Community School Corp&nbsp; (1900), "https://www.in.gov/omb/files/1900fy16.pdf"
Crawford Co Com School Corp&nbsp; (1300), "https://www.in.gov/omb/files/1300fy16.pdf"
Crawfordsville Com Schools&nbsp; (5855), "https://www.in.gov/omb/files/3710fy16.pdf"
"/omb/files/3710fy16" target="_blank">Crothersville Community Schools&nbsp; (3710)
Crown Point Community Sch Corp&nbsp; (4660), "https://www.in.gov/omb/files/4660fy16.pdf"
Culver Community Schools Corp&nbsp; (5455), "https://www.in.gov/omb/files/5455fy16.pdf"
Daleville Community Schools&nbsp; (1940), "https://www.in.gov/omb/files/Daleville%20Community%20Schools%c2%a0%20(1940).pdf"
Damar Charter Academy&nbsp; (9920), "https://www.in.gov/omb/files/9920fy16.pdf"
